symbol,ticker,market,currency,yahoo_symbol,figi
ADACW.US,ADACW,US,USD,ADACW,
ADAG.US,ADAG,US,USD,ADAG,
ADAM.US,ADAM,US,USD,ADAM,
ADAMG.US,ADAMG,US,USD,ADAMG,
ADAMH.US,ADAMH,US,USD,ADAMH,
ADAMI.US,ADAMI,US,USD,ADAMI,
ADAMK.US,ADAMK,US,USD,ADAMK,
ADAML.US,ADAML,US,USD,ADAML,
ADAMM.US,ADAMM,US,USD,ADAMM,
ADAMN.US,ADAMN,US,USD,ADAMN,
ADAMO.US,ADAMO,US,USD,ADAMO,
ADAMZ.US,ADAMZ,US,USD,ADAMZ,
ADAPY.US,ADAPY,US,USD,ADAPY,
ADBE.US,ADBE,US,USD,ADBE,
ADBT.US,ADBT,US,USD,ADBT,
ADC-PA.US,ADC-PA,US,USD,ADC-PA,
ADC.US,ADC,US,USD,ADC,
ADCT.US,ADCT,US,USD,ADCT,
ADDTF.US,ADDTF,US,USD,ADDTF,
ADEA.US,ADEA,US,USD,ADEA,
ADGM.US,ADGM,US,USD,ADGM,
ADI.US,ADI,US,USD,ADI,
ADIA.US,ADIA,US,USD,ADIA,
ADIG.US,ADIG,US,USD,ADIG,
ADIL.US,ADIL,US,USD,ADIL,
ADM.US,ADM,US,USD,ADM,
ADMA.US,ADMA,US,USD,ADMA,
ADMG.US,ADMG,US,USD,ADMG,
ADMQ.US,ADMQ,US,USD,ADMQ,
ADMT.US,ADMT,US,USD,ADMT,
ADNH.US,ADNH,US,USD,ADNH,
ADNT.US,ADNT,US,USD,ADNT,
ADOOY.US,ADOOY,US,USD,ADOOY,
ADP.US,ADP,US,USD,ADP,
ADPT.US,ADPT,US,USD,ADPT,
ADSE.US,ADSE,US,USD,ADSE,
ADSEW.US,ADSEW,US,USD,ADSEW,
ADSK.US,ADSK,US,USD,ADSK,
ADT.US,ADT,US,USD,ADT,
ADTI.US,ADTI,US,USD,ADTI,
ADTN.US,ADTN,US,USD,ADTN,
ADTTF.US,ADTTF,US,USD,ADTTF,
ADTX.US,ADTX,US,USD,ADTX,
ADUR.US,ADUR,US,USD,ADUR,
ADUS.US,ADUS,US,USD,ADUS,
ADV.US,ADV,US,USD,ADV,
ADVB.US,ADVB,US,USD,ADVB,
ADX.US,ADX,US,USD,ADX,
ADXN.US,ADXN,US,USD,ADXN,
ADYYF.US,ADYYF,US,USD,ADYYF,
ADZCF.US,ADZCF,US,USD,ADZCF,
AEAE.US,AEAE,US,USD,AEAE,
AEAEU.US,AEAEU,US,USD,AEAEU,
AEAEW.US,AEAEW,US,USD,AEAEW,
AEAQ.US,AEAQ,US,USD,AEAQ,
AEAQU.US,AEAQU,US,USD,AEAQU,
AEAQW.US,AEAQW,US,USD,AEAQW,
AEBI.US,AEBI,US,USD,AEBI,
AEBMF.US,AEBMF,US,USD,AEBMF,
AEBMY.US,AEBMY,US,USD,AEBMY,
AEBZY.US,AEBZY,US,USD,AEBZY,
AEC.US,AEC,US,USD,AEC,
AEE.US,AEE,US,USD,AEE,
AEF.US,AEF,US,USD,AEF,
AEFC.US,AEFC,US,USD,AEFC,
AEG.US,AEG,US,USD,AEG,
AEGOF.US,AEGOF,US,USD,AEGOF,
AEGXF.US,AEGXF,US,USD,AEGXF,
AEHGS.US,AEHGS,US,USD,AEHGS,
AEHL.US,AEHL,US,USD,AEHL,
AEHR.US,AEHR,US,USD,AEHR,
AEI.US,AEI,US,USD,AEI,
AEIS.US,AEIS,US,USD,AEIS,
AELKY.US,AELKY,US,USD,AELKY,
AEM.US,AEM,US,USD,AEM,
AEMD.US,AEMD,US,USD,AEMD,
AEMRF.US,AEMRF,US,USD,AEMRF,
AENT.US,AENT,US,USD,AENT,
AENTW.US,AENTW,US,USD,AENTW,
AEO.US,AEO,US,USD,AEO,
AEON.US,AEON,US,USD,AEON,
AEP.US,AEP,US,USD,AEP,
AER.US,AER,US,USD,AER,
AERA.US,AERA,US,USD,AERA,
AERG.US,AERG,US,USD,AERG,
AERGP.US,AERGP,US,USD,AERGP,
AERO.US,AERO,US,USD,AERO,
AERT.US,AERT,US,USD,AERT,
AERTW.US,AERTW,US,USD,AERTW,
AES.US,AES,US,USD,AES,
AESI.US,AESI,US,USD,AESI,
AESP.US,AESP,US,USD,AESP,
AESPR.US,AESPR,US,USD,AESPR,
AESPU.US,AESPU,US,USD,AESPU,
AESPW.US,AESPW,US,USD,AESPW,
AETN.US,AETN,US,USD,AETN,
AEVA.US,AEVA,US,USD,AEVA,
AEXA.US,AEXA,US,USD,AEXA,
AEYE.US,AEYE,US,USD,AEYE,
AFB.US,AFB,US,USD,AFB,
AFCG.US,AFCG,US,USD,AFCG,
AFG.US,AFG,US,USD,AFG,
AFGB.US,AFGB,US,USD,AFGB,
AFGC.US,AFGC,US,USD,AFGC,
AFGD.US,AFGD,US,USD,AFGD,
AFGE.US,AFGE,US,USD,AFGE,
AFJK.US,AFJK,US,USD,AFJK,
AFJKR.US,AFJKR,US,USD,AFJKR,
AFJKU.US,AFJKU,US,USD,AFJKU,
AFL.US,AFL,US,USD,AFL,
AFNDY.US,AFNDY,US,USD,AFNDY,
AFNX.US,AFNX,US,USD,AFNX,
AFRI.US,AFRI,US,USD,AFRI,
AFRIW.US,AFRIW,US,USD,AFRIW,
AFRM.US,AFRM,US,USD,AFRM,
AFYA.US,AFYA,US,USD,AFYA,
AG.US,AG,US,USD,AG,
AGBK.US,AGBK,US,USD,AGBK,
AGCC.US,AGCC,US,USD,AGCC,
AGCO.US,AGCO,US,USD,AGCO,
AGD.US,AGD,US,USD,AGD,
AGEN.US,AGEN,US,USD,AGEN,
AGI.US,AGI,US,USD,AGI,
AGIG.US,AGIG,US,USD,AGIG,
AGIO.US,AGIO,US,USD,AGIO,
AGKO.US,AGKO,US,USD,AGKO,
AGL.US,AGL,US,USD,AGL,
AGLY.US,AGLY,US,USD,AGLY,
AGM-A.US,AGM-A,US,USD,AGM-A,
AGM-PD.US,AGM-PD,US,USD,AGM-PD,
AGM-PE.US,AGM-PE,US,USD,AGM-PE,
AGM-PF.US,AGM-PF,US,USD,AGM-PF,
AGM-PG.US,AGM-PG,US,USD,AGM-PG,
AGM-PH.US,AGM-PH,US,USD,AGM-PH,
AGM-PI.US,AGM-PI,US,USD,AGM-PI,
AGM.US,AGM,US,USD,AGM,
AGMB.US,AGMB,US,USD,AGMB,
AGMH.US,AGMH,US,USD,AGMH,
AGMRF.US,AGMRF,US,USD,AGMRF,
AGMWF.US,AGMWF,US,USD,AGMWF,
AGNC.US,AGNC,US,USD,AGNC,
