symbol,cik
ROL.US,84839
WIT.US,1123799
JHX.US,1159152
J.US,52988
FTV.US,1659166
ZBRA.US,877212
NVR.US,906163
IEX.US,832101
NLY.US,1043219
BSAC.US,1027552
OWL.US,1823945
APG.US,1796209
MEDP.US,1668397
AS.US,1988894
DSEEY.US,1481045
INVH.US,1687229
RGA.US,898174
LDOS.US,1336920
TIGO.US,912958
BALL.US,9389
DIDIY.US,1764757
WY.US,106535
JAZZ.US,1232524
JLL.US,1037976
NBIX.US,914475
SCRNY.US,1544379
FUTU.US,1754581
NWSA.US,1564708
BAWAY.US,1968385
WPC.US,1025378
LNTCY.US,2098381
APA.US,1841666
KEP.US,887225
KIM.US,879101
HST.US,1070750
PHYS.US,1477049
SMTC.US,88941
ZTO.US,1677250
CRBG.US,1889539
RBA.US,1046102
H.US,1468174
RBC.US,1324948
ARMK.US,1584509
STRL.US,874238
AKAM.US,1086222
CX.US,1076378
GFL.US,1780232
CG.US,1527166
BMNR.US,1829311
LAMR.US,1090425
INIO.US,2109150
EMA.US,1127248
PNFP.US,2082866
AGI.US,1178819
OHI.US,888491
IONQ.US,1824920
UNM.US,5513
TLN.US,1622536
TRU.US,1552033
BURL.US,1579298
PS.US,2026053
MAA.US,912595
DT.US,1773383
PFGC.US,1618673
SOLV.US,1964738
FN.US,1408710
WMG.US,1319161
LOGI.US,1032975
BEP.US,1533232
DOCN.US,1582961
TLK.US,1001807
VARRY.US,1919275
EQH.US,1333986
SUN.US,1552275
GLXY.US,1859392
SKM.US,1015650
GIB.US,1061574
SUI.US,912593
DOC.US,765880
ULS.US,1901440
YUMC.US,1673358
EQX.US,1756607
TU.US,868675
IVZ.US,914208
EG.US,1095073
PAG.US,1019849
BBIO.US,1743881
PTC.US,857005
ARCC.US,1287750
SGI.US,1206264
SMMT.US,1599298
EXEL.US,939767
AIZ.US,1267238
ALB.US,915913
TXT.US,217346
REG.US,910606
RVTY.US,31791
MKC.US,63754
TYL.US,860731
LECO.US,59527
IESC.US,1048268
BWXT.US,1486957
OBICY.US,2077146
BWA.US,908255
CACI.US,16058
MAS.US,62996
SWK.US,93556
W.US,1616707
RNR.US,913144
MLI.US,89439
SWKS.US,4127
CHKP.US,1015922
FIVE.US,1177609
AEG.US,769218
TRMB.US,864749
EMBJ.US,1355444
CRL.US,1100682
JBS.US,1791942
HL.US,719413
DFKUY.US,1762831
CSL.US,790051
TTMI.US,1116942
PSLV.US,1494728
GL.US,320335
DTM.US,1842022
BLMOY.US,2109234
ICLR.US,1060955
HTHT.US,1483994
WSO.US,105016
ALLE.US,1579241
TME.US,1744676
QNT.US,2110105
AMH.US,1562401
AUR.US,1828108
UDR.US,74208
HAS.US,46080
CNA.US,21175
HMY.US,1023514
SJM.US,91419
AVY.US,8818
SEIC.US,350894
ALLY.US,40729
AMKR.US,1047127
RPM.US,110621
LII.US,1069202
MAIR.US,2098430
AA.US,1675149
QXO.US,1236275
BMRN.US,1048477
COKE.US,317540
NXT.US,1852131
ERIE.US,922621
PAYP.US,2080845
PEN.US,1321732
UHAL.US,4457
CHYM.US,1795586
GRAB.US,1855612
GGG.US,42888
YARIY.US,1279956
TOL.US,794170
MDGL.US,1157601
GDDY.US,1609711
DOCU.US,1261333
CCK.US,1219601
FIG.US,1579878
BAX.US,10456
CSGP.US,1057352
HUT.US,1964789
HALO.US,1159036
DKNG.US,1883685
CORT.US,1088856
BF-B.US,14693
ELS.US,895417
GLPI.US,1575965
TMTNY.US,2072098
AGNC.US,1423689
EHC.US,785161
PAC.US,1347557
SF.US,720672
DKS.US,1089063
MICC.US,2071668
NCLTY.US,1801729
CPT.US,906345
FMS.US,1333141
AIT.US,109563
TXRH.US,1289460
FNF.US,1331875
WTS.US,795403
WSE.US,2099039
ARWR.US,879407
AR.US,1433270
PSKY.US,2041610
MANH.US,1056696
NVMI.US,1109345
HBM.US,1322422
GWRE.US,1528396
AHR.US,1632970
AFG.US,1042046
CONE.US,2103884
BXP.US,1037540
PNW.US,764622
CR.US,1944013
WTRG.US,78128
BTSG.US,1865782
AXSM.US,1579428
DVA.US,927066
HUBS.US,1404655
AKZOY.US,3124
MOG-A.US,67887
SANM.US,897723
ARW.US,7536
FHN.US,36966
BJ.US,1531152
SUZ.US,909327
LI.US,1791706
IAG.US,1203464
ELAN.US,1739104
SNN.US,845982
AEIS.US,927003
TECH.US,842023
EGO.US,918608
JKHY.US,779152
HRL.US,48465
RTO.US,930157
BZLFY.US,1072397
IT.US,749251
CART.US,1579091
SCI.US,89089
DECK.US,910521
HII.US,1501585
GNRC.US,1474735
LFUS.US,889331
KNX.US,1492691
LULU.US,1397187
EVR.US,1360901
FRO.US,913290
CGNX.US,851205
FROG.US,1800667
RRX.US,82811
NYT.US,71691
TFII.US,1588823
DLAKY.US,1049724
ALGN.US,1097149
PINS.US,1506293
GME.US,1326380
GSAT.US,1366868
TEM.US,1717115
EGP.US,49600
CLX.US,21076
FRHC.US,924805
ALSN.US,1411207
UMBF.US,101382
AES.US,874761
JEF.US,96223
MOH.US,1179929
AM.US,1623925
BNT.US,1837429
BPOP.US,763901
OC.US,1370946
CYTK.US,1061983
KRYS.US,1711279
QRVO.US,1604778
ENLT.US,1922641
DPZ.US,1286681
UHS.US,352915
DAR.US,916540
MGM.US,789570
OSCR.US,1568651
SSB.US,764038
WTFC.US,1015328
COO.US,711404
VSAT.US,797721
ABVX.US,1956827
ENSG.US,1125376
CFR.US,39263
MOD.US,67347
XPEV.US,1810997
ZION.US,109380
XP.US,1787425
DDS.US,28917
FRT.US,34903
GGB.US,1073404
RDY.US,1135951
AVTR.US,1722482
BIO.US,12208
GMED.US,1237831
GKOS.US,1192448
MTCH.US,891103
ORI.US,74260
PAYC.US,1590955
SIRI.US,908937
FCFS.US,840489
LKNCY.US,1767582
SNROY.US,1584273
SAIL.US,2030781
ONB.US,707179
SOLS.US,2064953
WEGRY.US,1540042
HSIC.US,1000228
WMS.US,1604028
RYAN.US,1849253
SIMO.US,1329394
DRS.US,1833756
SNAP.US,1564408
MUSA.US,1573516
OGE.US,1021635
RRC.US,315852
PTGX.US,1377121
AG.US,1308648
HLI.US,1302215
SPXC.US,88205
VIAV.US,912093
JAN.US,2100805
AYI.US,1144215
APTV.US,1521332
KYMR.US,1815442
FPS.US,2080126
FLS.US,30625
PRAX.US,1689548
RMBS.US,917273
LINE.US,1868159
PSO.US,938323
KT.US,892450
RGEN.US,730272
JXN.US,1822993
VOYA.US,1535929
MSGS.US,1636519
BSY.US,1031308
LTH.US,1869198
VMI.US,102729
PBF.US,1534504
DY.US,67215
SSL.US,314590
R.US,85961
TTEK.US,831641
LGN.US,2052568
SAIA.US,1177702
PNDRY.US,1505880
FDS.US,1013237
ELPC.US,1041792
KNTK.US,1692787
NIO.US,1736541
AZBLY.US,2108185
PODD.US,1145197
ONON.US,1858985
AMG.US,1004434
IONS.US,874015
CTRE.US,1590717
VICR.US,751978
SM.US,893538
BAH.US,1443646
PNR.US,77360
OSK.US,775158
SBSW.US,1786909
MP.US,1801368
WLK.US,1262823
WYNN.US,1174922
FORM.US,1039399
PRI.US,1475922
IDCC.US,1405495
AAOI.US,1158114
GIL.US,1061894
TXG.US,1770787
SPIIY.US,2083221
TIMB.US,1826168
MINBY.US,1034983
ALV.US,1034670
CUBE.US,1298675
EAT.US,703351
ADC.US,917251
PCVX.US,1649094
BRX.US,1581068
TTC.US,737758
ESTC.US,1707753
LEA.US,842162
VBREY.US,1000377
QGEN.US,1015820
ARE.US,1035443
AAL.US,6201
LPGCY.US,2068440
KMX.US,1170010
KTOS.US,1069258
IBRX.US,1326110
REXR.US,1571283
LLYVA.US,2078416
MHK.US,851968
KERCY.US,2107989
WAL.US,1212545
BVN.US,1013131
GWKSY.US,2062522
PB.US,1068851
AGCO.US,880266
RHP.US,1040829
TWST.US,1581280
SNEX.US,913760
YMM.US,1838413
COLB.US,887343
WULF.US,1083301
FR.US,921825
VIST.US,1762506
LNC.US,59558
CBSH.US,22356
NNN.US,751364
CHRD.US,1486159
ESI.US,1590714
TGTX.US,1001316
BOKF.US,875357
ACM.US,868857
HESM.US,1789832
TKR.US,98362
KNSL.US,1669162
UGI.US,884614
CHWY.US,1766502
NEU.US,1282637
BRKR.US,1109354
AVT.US,8858
PCOR.US,1611052
COMP.US,1563190
SYRE.US,1636282
RIOT.US,1167419
MOS.US,1285785
FIGR.US,2064124
HQY.US,1428336
SARO.US,2025410
ATR.US,896622
SFD.US,91388
UGP.US,1094972
LAD.US,1023128
THG.US,944695
IDA.US,1057877
AOS.US,91142
GTLB.US,1653482
PCTY.US,1591698
STN.US,1131383
LEVI.US,94845
DBX.US,1467623
IMVT.US,1764013
CBC.US,2065601
CEF.US,1726122
NFG.US,70145
EMN.US,915389
BROS.US,1866581
CAE.US,1173382
ALKS.US,1520262
CWEN.US,1567683
ZWS.US,1439288
VLY.US,714310
GAP.US,39911
MTDR.US,1520006
ZETA.US,1851003
APLD.US,1144879
CNM.US,1856525
ZG.US,1617640
NOV.US,1021860
RAL.US,2041385
SOBO.US,2019061
LUMN.US,18926
PRMB.US,2042694
VFS.US,1913510
BZ.US,1842827
KEX.US,56047
AVAV.US,1368622
SSRM.US,921638
FAF.US,1472787
AXTA.US,1616862
GGAL.US,1114700
APPF.US,1433195
SLAB.US,1038074
LOTMY.US,2041918
RYTM.US,1649904
STAG.US,1479094
AUGO.US,1468642
TAP.US,24545
OMF.US,1584207
NE.US,1895262
FLR.US,1124198
HNGE.US,1673743
PPC.US,802481
PATH.US,1734722
SHMXY.US,1648512
MORN.US,1289419
ACA.US,1739445
AXS.US,1214816
BJGPY.US,2098425
TRNO.US,1476150
MBLY.US,1910139
CIFR.US,1819989
BCHMY.US,1968378
SSD.US,920371
PJT.US,1626115
PACS.US,2001184
BTG.US,1429937
VNO.US,899689
ESE.US,866706
MSA.US,66570
BLTE.US,1889109
SGHC.US,1878057
HXL.US,717605
TFPM.US,1829726
TEX.US,97216
MAAS.US,1750264
FSS.US,277509
PDI.US,1510599
SFGYY.US,2084022
CAI.US,2019410
CAMT.US,1109138
AWI.US,7431
CELH.US,1341766
MATX.US,3453
CAG.US,23217
CLF.US,764065
MXL.US,1288469
S.US,1583708
NCLH.US,1513761
ACT.US,1823529
SEI.US,1697500
OKLO.US,1849056
AN.US,350698
PLXS.US,785786
ALGM.US,866291
SFM.US,1575515
VCTR.US,1570827
SRRK.US,1727196
TTD.US,1671933
URBN.US,912615
ESYJY.US,1470419
CHE.US,19584
ETSY.US,1370637
MGY.US,1698990
OR.US,1627272
DUOL.US,1562088
MAC.US,912242
LB.US,1995807
OGC.US,1487326
NXE.US,1698535
AAON.US,824142
POWL.US,80420
GTES.US,1718512
HR.US,1360604
LNTH.US,1521036
ARSTY.US,2044984
WEX.US,1309108
TAL.US,1499620
LW.US,1679273
BLDR.US,1316835
CAVA.US,1639438
FNB.US,37808
PAGP.US,1581990
MBGL.US,2090312
ENS.US,1289308
RSI.US,1793659
KGS.US,1767042
DSGX.US,1050140
FNMA.US,310522
UBSI.US,729986
CGON.US,1991792
DPC.US,2107018
DOX.US,1062579
MIRM.US,1759425
BILI.US,1723690
AVAL.US,1504764
NPO.US,1164863
HIMS.US,1773751
WFRD.US,1603923
MTG.US,876437
MMED.US,2062583
RIG.US,1451505
ST.US,1477294
JOBY.US,1819848
INGR.US,1046257
MBSHY.US,2079706
INGM.US,1897762
STEP.US,1796022
CPB.US,16732
TVTX.US,1438533
CACC.US,885550
POOL.US,945841
SWX.US,1692115
GATX.US,40211
