symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
ABCP.US,AmBase Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABCP,US,United States,,,,,,,
ABEO.US,ABEONA THERAPEUTICS INC.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABEO,US,United States,,,,,,,
ABEV.US,AMBEV S.A.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABEV,US,United States,,,,,,,
ABG.US,ASBURY AUTOMOTIVE GROUP INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABG,US,United States,,,,,,,
ABIT.US,Athena Bitcoin Global,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABIT,US,United States,,,,,,,
ABLV.US,Able View Global Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABLV,US,United States,,,,,,,
ABLVW.US,Able View Global Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABLVW,US,United States,,,,,,,
ABLZF.US,ABB LTD,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABLZF,US,United States,,,,,,,
ABM.US,ABM INDUSTRIES INC /DE/,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABM,US,United States,,,,,,,
ABNB.US,"Airbnb, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABNB,US,United States,,,,,,,
ABOS.US,"Acumen Pharmaceuticals, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABOS,US,United States,,,,,,,
ABPO.US,"Abpro Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABPO,US,United States,,,,,,,
ABPWW.US,"Abpro Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABPWW,US,United States,,,,,,,
ABR-PD.US,ARBOR REALTY TRUST INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABR-PD,US,United States,,,,,,,
ABR-PE.US,ARBOR REALTY TRUST INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABR-PE,US,United States,,,,,,,
ABR-PF.US,ARBOR REALTY TRUST INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABR-PF,US,United States,,,,,,,
ABR.US,ARBOR REALTY TRUST INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABR,US,United States,,,,,,,
ABSI.US,Absci Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABSI,US,United States,,,,,,,
ABT.US,ABBOTT LABORATORIES,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABT,US,United States,,,,,,,
ABTC.US,American Bitcoin Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABTC,US,United States,,,,,,,
ABTS.US,Abits Group Inc,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABTS,US,United States,,,,,,,
ABUS.US,Arbutus Biopharma Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABUS,US,United States,,,,,,,
