date,open,high,low,close,volume
2021-09-17,10.050000190734863,11.149999618530273,10.050000190734863,10.75,363736
2021-09-20,11.399999618530273,11.399999618530273,9.600000381469727,10.0,530824
2021-09-21,10.050000190734863,10.149999618530273,9.699999809265137,9.800000190734863,100544
2021-09-22,9.800000190734863,10.149999618530273,9.760000228881836,9.84000015258789,63019
2021-09-23,9.979999542236328,10.0,9.699999809265137,9.699999809265137,53415
2021-09-24,9.739999771118164,10.0,9.739999771118164,9.760000228881836,34889
2021-09-27,9.779999732971191,9.800000190734863,9.260000228881836,9.5,85580
2021-09-28,9.380000114440918,9.479999542236328,8.979999542236328,9.0,156337
2021-09-29,8.84000015258789,9.140000343322754,8.539999961853027,9.100000381469727,235896
2021-09-30,8.979999542236328,9.4399995803833,8.960000038146973,9.260000228881836,105827
2021-10-01,9.220000267028809,9.34000015258789,8.920000076293945,9.119999885559082,68713
2021-10-04,9.119999885559082,9.140000343322754,8.920000076293945,8.960000038146973,64256
2021-10-05,8.899999618530273,9.180000305175781,8.84000015258789,9.15999984741211,38863
2021-10-06,9.180000305175781,9.180000305175781,8.619999885559082,8.899999618530273,95329
2021-10-07,8.880000114440918,9.5,8.880000114440918,9.460000038146973,104074
2021-10-08,9.479999542236328,9.739999771118164,9.300000190734863,9.4399995803833,67173
2021-10-11,9.5,9.979999542236328,9.359999656677246,9.960000038146973,96079
2021-10-12,9.960000038146973,9.960000038146973,9.460000038146973,9.720000267028809,48767
2021-10-13,9.680000305175781,9.680000305175781,9.319999694824219,9.420000076293945,47021
2021-10-14,9.4399995803833,9.880000114440918,9.4399995803833,9.720000267028809,46995
2021-10-15,9.920000076293945,10.449999809265137,9.84000015258789,10.350000381469727,137252
2021-10-18,10.399999618530273,10.75,9.800000190734863,9.859999656677246,182097
2021-10-19,9.800000190734863,9.800000190734863,9.359999656677246,9.4399995803833,117676
2021-10-20,9.420000076293945,9.420000076293945,8.880000114440918,9.100000381469727,97240
